year,Bangladesh,China,United Kingdom
1975,6.821000000000001,3.826,1.81
1976,6.757999999999999,3.497,1.74
1977,6.68,3.2119999999999997,1.69
1978,6.587000000000001,2.9819999999999998,1.75
1979,6.48,2.813,1.86
1980,6.356,2.71,1.9
1981,6.216,2.673,1.82
1982,6.06,2.682,1.78
1983,5.89,2.72,1.77
1984,5.71,2.7689999999999997,1.77
1985,5.522,2.8110000000000004,1.79
1986,5.327000000000001,2.826,1.78
1987,5.13,2.806,1.81
1988,4.9319999999999995,2.745,1.82
1989,4.738,2.6439999999999997,1.79
1990,4.55,2.506,1.83
1991,4.37,2.342,1.82
1992,4.197,2.171,1.79
1993,4.033,2.009,1.76
1994,3.878,1.865,1.74
1995,3.7319999999999998,1.746,1.71
1996,3.596,1.656,1.73
1997,3.468,1.591,1.72
1998,3.346,1.546,1.71
1999,3.2310000000000003,1.52,1.68
2000,3.12,1.51,1.64
2001,3.011,1.514,1.63
2002,2.905,1.527,1.63
2003,2.802,1.546,1.7
2004,2.702,1.5659999999999998,1.75
2005,2.6069999999999998,1.585,1.76
