group,index,x,y
I,0,10.0,8.04
I,1,8.0,6.95
I,2,13.0,7.58
I,3,9.0,8.81
I,4,11.0,8.33
I,5,14.0,9.96
I,6,6.0,7.24
I,7,4.0,4.26
I,8,12.0,10.84
I,9,7.0,4.82
I,10,5.0,5.68
II,0,10.0,9.14
II,1,8.0,8.14
II,2,13.0,8.74
II,3,9.0,8.77
II,4,11.0,9.26
II,5,14.0,8.1
II,6,6.0,6.13
II,7,4.0,3.1
II,8,12.0,9.13
II,9,7.0,7.26
II,10,5.0,4.74
III,0,10.0,7.46
III,1,8.0,6.77
III,2,13.0,12.74
III,3,9.0,7.11
III,4,11.0,7.81
III,5,14.0,8.84
III,6,6.0,6.08
III,7,4.0,5.39
III,8,12.0,8.15
III,9,7.0,6.42
III,10,5.0,5.73
IV,0,8.0,6.58
IV,1,8.0,5.76
IV,2,8.0,7.71
IV,3,8.0,8.84
IV,4,8.0,8.47
IV,5,8.0,7.04
IV,6,8.0,5.25
IV,7,19.0,12.5
IV,8,8.0,5.56
IV,9,8.0,7.91
IV,10,8.0,6.89
