Age,Year,Value
0-4,1950,20
25-29,1950,10
35-39,1950,6
0-4,1955,22
25-29,1955,11
35-39,1955,8
0-4,1960,28
25-29,1960,14
35-39,1960,10
0-4,1965,32
25-29,1965,16
35-39,1965,11
0-4,1970,36
25-29,1970,16
35-39,1970,12
0-4,1975,40
25-29,1975,21
35-39,1975,15
0-4,1980,50
25-29,1980,44
35-39,1980,21
0-4,1985,59
25-29,1985,51
35-39,1985,39
0-4,1990,66
25-29,1990,59
35-39,1990,48
0-4,1995,61
25-29,1995,64
35-39,1995,57
0-4,2000,72
25-29,2000,68
35-39,2000,66
0-4,2005,82
25-29,2005,100
35-39,2005,85
0-4,2010,90
25-29,2010,195
35-39,2010,130
0-4,2015,107
25-29,2015,187
35-39,2015,118
0-4,2020,94
25-29,2020,166
35-39,2020,177
