year,tot_gdp
1901,323025934280.703
1902,325151671552.607
1903,327291685169.127
1904,329446010943.879
1905,331613880995.338
1906,333796132664.895
1907,335992805190.342
1908,338203930611.404
1909,340429549111.491
1910,342669697715.664
1911,346782129987.727
1912,350943610892.761
1913,355155076907.225
1914,363909490559.371
1915,372879613789.222
1916,382070264901.619
1917,391488074315.739
1918,401138140150.286
1919,411025646119.642
1920,421156792901.501
1921,428346624655.593
1922,435659259066.462
1923,443096777252.923
1924,450661295199.262
1925,458354963377.962
1926,466179957602.387
1927,474138502422.909
1928,482232861645.099
1929,490465321969.098
1930,496687175825.495
1931,501744107634.339
1932,517689732000.259
1933,517689736157.185
1934,472572795774.05
1935,510709162230.297
1936,542972611732.14
1937,529748715013.542
1938,516524814082.242
1939,480275118088.432
1940,446569155551.093
1941,415228397671.572
1942,386087576137.251
1943,358991501657.649
1944,333797308134.985
1945,310371438485.137
1946,288589184381.117
1947,268335716780.408
1948,249503694453.119
1949,231993320907.656
1950,217273768527.744
1951,244783534218.297
1952,273843887794.362
1953,286380932299.689
1954,293620197436.418
1955,308829882450.78
1956,335385171629.819
1957,351911263991.147
1958,388273397844.992
1959,392115959377.545
1960,383787680322.437
1961,324757257445.859
1962,327462334698.788
1963,355988534123.894
1964,395266876240.129
1965,438791422608.695
1966,478137778111.923
1967,465395897972.2
1968,457391549924.592
1969,497398947344.508
1970,558302230677.873
1971,585481575609.558
1972,602987558728.612
1973,648381845379.044
1974,659969343698.196
1975,701917046049.928
1976,698793442595.496
1977,743360218863.316
1978,824576704865.997
1979,887923319578.931
1980,918549679360.542
1981,974284534461.978
1982,1055381888485.4
1983,1135249058276.92
1984,1278727501201.21
1985,1413320018904.43
1986,1509953364406.12
1987,1670070858477.44
1988,1789173410441.51
1989,1822233448785.72
1990,1886574471410.78
1991,2010659968843.23
1992,2206392837096.11
1993,2419685886970.37
1994,2660406816525.07
1995,3060875016243.46
1996,3122277581928.72
1997,3284387755258.72
1998,3291857901678.34
1999,3506880985802.34
2000,3822736935284.87
2001,4229600283772.33
2002,4752361206377.67
2003,5469743287750.28
2004,5918976689186.03
2005,6419237931652.8
2006,7233347463680.64
2007,8258325738623.78
2008,9054414163243.75
2009,9888054992342.18
2010,10919037643258.4
2011,11923382321993.4
