year,SP.DYN.TFRT.IN Bangladesh,SP.DYN.TFRT.IN China,SP.DYN.TFRT.IN United Kingdom,SP.DYN.LE00.IN Bangladesh,SP.DYN.LE00.IN China,SP.DYN.LE00.IN United Kingdom,SH.DYN.MORT Bangladesh,SH.DYN.MORT China,SH.DYN.MORT United Kingdom
1975,6.821000000000001,3.826,1.81,49.0616341463415,65.69958536585371,72.7243902439024,217.0,83.7,18.0
1976,6.757999999999999,3.497,1.74,50.434243902439,65.9944390243903,72.7756097560976,214.4,78.3,17.2
1977,6.68,3.2119999999999997,1.69,51.824853658536604,66.2640487804878,73.2243902439024,211.1,73.2,16.5
1978,6.587000000000001,2.9819999999999998,1.75,53.067,66.5137317073171,73.1756097560976,207.1,68.7,15.7
1979,6.48,2.813,1.86,54.0886829268293,66.7622926829268,73.2756097560976,202.5,64.7,14.9
1980,6.356,2.71,1.9,54.8689268292683,67.0236097560976,73.6756097560976,197.8,61.3,14.1
1981,6.216,2.673,1.82,55.4431951219512,67.2976585365854,74.0268292682927,193.2,58.5,13.4
1982,6.06,2.682,1.78,55.918487804878104,67.57209756097559,74.1780487804878,188.6,56.4,12.7
1983,5.89,2.72,1.77,56.3812195121951,67.836512195122,74.37804878048779,183.7,54.7,12.2
1984,5.71,2.7689999999999997,1.77,56.8584146341463,68.0929024390244,74.7780487804878,178.7,53.7,11.7
1985,5.522,2.8110000000000004,1.79,57.363048780487794,68.34129268292679,74.62926829268291,173.3,53.1,11.4
1986,5.327000000000001,2.826,1.78,57.8951219512195,68.5821707317073,74.9292682926829,167.5,53.0,11.1
1987,5.13,2.806,1.81,58.4331707317073,68.8155365853658,75.28048780487799,161.5,53.2,10.8
1988,4.9319999999999995,2.745,1.82,58.96314634146339,69.0423902439024,75.38048780487809,155.5,53.6,10.4
1989,4.738,2.6439999999999997,1.79,59.487585365853704,69.262243902439,75.58292682926829,149.6,53.9,9.9
1990,4.55,2.506,1.83,60.0084878048781,69.4715609756098,75.88048780487809,143.6,54.0,9.3
1991,4.37,2.342,1.82,60.531829268292704,69.6613170731707,76.08292682926829,137.7,53.6,8.7
1992,4.197,2.171,1.79,61.0621463414634,69.832,76.4341463414634,131.7,52.6,8.2
1993,4.033,2.009,1.76,61.6004146341464,69.9906585365854,76.3853658536585,125.7,51.1,7.8
1994,3.878,1.865,1.74,62.145170731707296,70.14782926829271,76.8853658536585,119.8,49.3,7.4
1995,3.7319999999999998,1.746,1.71,62.6938780487805,70.3291707317073,76.83658536585371,113.8,47.4,7.2
1996,3.596,1.656,1.73,63.24207317073171,70.5628292682927,77.0878048780488,108.1,45.5,7.0
1997,3.468,1.591,1.72,63.783756097560996,70.86390243902441,77.2109756097561,102.5,43.5,6.9
1998,3.346,1.546,1.71,64.31343902439029,71.2348780487805,77.19024390243901,97.2,41.4,6.8
1999,3.2310000000000003,1.52,1.68,64.8265853658537,71.6687073170732,77.390243902439,92.3,39.3,6.7
2000,3.12,1.51,1.64,65.3197317073171,72.1407317073171,77.7414634146342,87.7,36.9,6.6
2001,3.011,1.514,1.63,65.7903414634146,72.6197804878049,77.9926829268293,83.6,34.3,6.4
2002,2.905,1.527,1.63,66.2399024390244,73.06960975609759,78.14390243902442,79.7,31.6,6.3
2003,2.802,1.546,1.7,66.6709268292683,73.4650975609756,78.4463414634146,75.8,28.9,6.2
2004,2.702,1.5659999999999998,1.75,67.0859756097561,73.7937073170732,78.7463414634146,71.8,26.3,6.1
2005,2.6069999999999998,1.585,1.76,67.4895609756098,74.05390243902441,79.0487804878049,67.7,23.9,6.0
