year,age,sex,people
1950, 0,1,10000
1950, 0,2,10000
1950, 5,1,8000
1950, 5,2,8000
1950, 10,1,7000
1950, 10,2,6000
1950, 15,1,6000
1950, 15,2,5000
1950, 20,1,6000
1950, 20,2,5000
1950, 25,1,6000
1950, 25,2,4000
1950, 30,1,5000
1950, 30,2,3000
1950, 35,1,4000
1950, 35,2,3000
1950, 40,1,3000
1950, 40,2,2000
1950, 45,1,2000
1950, 45,2,2000
1950, 50,1,2000
1950, 50,2,2000
1950, 55,1,1000
1950, 55,2,1000
1950, 60,1,1000
1950, 60,2,1000
1950, 65,1,1000
1950, 65,2,1000
1950, 70,1,0
1950, 70,2,1000
1950, 75,1,0
1950, 75,2,0
1950, 80,1,0
1950, 80,2,0
1955, 0,1,11000
1955, 0,2,11000
1955, 5,1,9000
1955, 5,2,9000
1955, 10,1,8000
1955, 10,2,8000
1955, 15,1,6000
1955, 15,2,6000
1955, 20,1,6000
1955, 20,2,5000
1955, 25,1,7000
1955, 25,2,5000
1955, 30,1,6000
1955, 30,2,4000
1955, 35,1,4000
1955, 35,2,3000
1955, 40,1,4000
1955, 40,2,3000
1955, 45,1,3000
1955, 45,2,2000
1955, 50,1,2000
1955, 50,2,2000
1955, 55,1,2000
1955, 55,2,1000
1955, 60,1,1000
1955, 60,2,1000
1955, 65,1,1000
1955, 65,2,1000
1955, 70,1,1000
1955, 70,2,1000
1955, 75,1,0
1955, 75,2,0
1955, 80,1,0
1955, 80,2,0
1960, 0,1,14000
1960, 0,2,14000
1960, 5,1,10000
1960, 5,2,11000
1960, 10,1,9000
1960, 10,2,9000
1960, 15,1,8000
1960, 15,2,8000
1960, 20,1,7000
1960, 20,2,6000
1960, 25,1,8000
1960, 25,2,6000
1960, 30,1,7000
1960, 30,2,5000
1960, 35,1,6000
1960, 35,2,4000
1960, 40,1,5000
1960, 40,2,3000
1960, 45,1,4000
1960, 45,2,3000
1960, 50,1,3000
1960, 50,2,2000
1960, 55,1,2000
1960, 55,2,2000
1960, 60,1,1000
1960, 60,2,1000
1960, 65,1,1000
1960, 65,2,1000
1960, 70,1,1000
1960, 70,2,1000
1960, 75,1,0
1960, 75,2,0
1960, 80,1,0
1960, 80,2,0
1965, 0,1,16000
1965, 0,2,16000
1965, 5,1,15000
1965, 5,2,15000
1965, 10,1,14000
1965, 10,2,13000
1965, 15,1,9000
1965, 15,2,7000
1965, 20,1,10000
1965, 20,2,8000
1965, 25,1,10000
1965, 25,2,6000
1965, 30,1,7000
1965, 30,2,5000
1965, 35,1,6000
1965, 35,2,4000
1965, 40,1,4000
1965, 40,2,3000
1965, 45,1,4000
