year,age,sex,people
1950, 0,1,3169000
1950, 0,2,3069000
1950, 5,1,2574000
1950, 5,2,2441000
1950, 10,1,2272000
1950, 10,2,2105000
1950, 15,1,1993000
1950, 15,2,1837000
1950, 20,1,1704000
1950, 20,2,1596000
1950, 25,1,1487000
1950, 25,2,1377000
1950, 30,1,1296000
1950, 30,2,1164000
1950, 35,1,1130000
1950, 35,2,980000
1950, 40,1,987000
1950, 40,2,799000
1950, 45,1,829000
1950, 45,2,687000
1950, 50,1,655000
1950, 50,2,570000
1950, 55,1,519000
1950, 55,2,454000
1950, 60,1,376000
1950, 60,2,340000
1950, 65,1,303000
1950, 65,2,273000
1950, 70,1,255000
1950, 70,2,224000
1950, 75,1,129000
1950, 75,2,110000
1950, 80,1,104000
1950, 80,2,84000
1955, 0,1,3851000
1955, 0,2,3733000
1955, 5,1,2901000
1955, 5,2,2763000
1955, 10,1,2510000
1955, 10,2,2362000
1955, 15,1,2228000
1955, 15,2,2056000
1955, 20,1,1946000
1955, 20,2,1782000
1955, 25,1,1659000
1955, 25,2,1545000
1955, 30,1,1447000
1955, 30,2,1328000
1955, 35,1,1256000
1955, 35,2,1117000
1955, 40,1,1087000
1955, 40,2,936000
1955, 45,1,938000
1955, 45,2,758000
1955, 50,1,777000
1955, 50,2,643000
1955, 55,1,600000
1955, 55,2,520000
1955, 60,1,458000
1955, 60,2,397000
1955, 65,1,310000
1955, 65,2,279000
1955, 70,1,226000
1955, 70,2,202000
1955, 75,1,164000
1955, 75,2,141000
1955, 80,1,104000
1955, 80,2,84000
1960, 0,1,4479000
1960, 0,2,4393000
1960, 5,1,3535000
1960, 5,2,3392000
1960, 10,1,2838000
1960, 10,2,2683000
1960, 15,1,2477000
1960, 15,2,2315000
1960, 20,1,2193000
1960, 20,2,2004000
1960, 25,1,1909000
1960, 25,2,1731000
1960, 30,1,1624000
1960, 30,2,1495000
1960, 35,1,1410000
1960, 35,2,1280000
1960, 40,1,1214000
1960, 40,2,1070000
1960, 45,1,1039000
1960, 45,2,890000
1960, 50,1,884000
1960, 50,2,712000
1960, 55,1,717000
1960, 55,2,591000
1960, 60,1,535000
1960, 60,2,460000
1960, 65,1,383000
1960, 65,2,331000
1960, 70,1,236000
1960, 70,2,211000
1960, 75,1,149000
1960, 75,2,131000
1960, 80,1,124000
1960, 80,2,103000
1965, 0,1,5260000
1965, 0,2,5083000
1965, 5,1,4169000
1965, 5,2,4038000
1965, 10,1,3455000
1965, 10,2,3297000
1965, 15,1,2777000
1965, 15,2,2625000
1965, 20,1,2408000
1965, 20,2,2253000
1965, 25,1,2132000
1965, 25,2,1948000
1965, 30,1,1861000
1965, 30,2,1680000
